"","X13_S84_L002","X14_S85_L002","X15_S86_L002","X16_S87_L002","X17_S88_L002","X18_S89_L002","X19_S90_L002","X2_S73_L002","X20_S91_L002","X21_S92_L002","X22_S93_L002","X23_S94_L002","X25_S96_L002","X26_S97_L002","X27_S98_L002","X28_S99_L002","X29_S100_L002","X31_S102_L002","X33_S104_L002","X34_S105_L002","X35_S106_L002","X38_S109_L002","X39_S110_L002","X4_S75_L002","X43_S114_L002","X44_S115_L002","X45_S116_L002","X46_S117_L002","X47_S118_L002","X5_S76_L002","X6_S77_L002"
"ASV_16",18.01,14.01,17.01,0.01,0.01,0.01,0.01,90.01,0.01,0.01,0.01,0.01,267.01,273.01,225.01,307.01,172.01,195.01,282.01,206.01,218.01,30.01,48.01,167.01,0.01,0.01,18.01,0.01,21.01,88.01,116.01
"ASV_18",209.01,116.01,89.01,183.01,0.01,0.01,0.01,691.01,0.01,0.01,76.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7.01,0.01,19.01,89.01,0.01,0.01,0.01,0.01,0.01,1246.01,1054.01
"ASV_20",48.01,58.01,257.01,121.01,0.01,10.01,0.01,43.01,0.01,96.01,123.01,548.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,53.01,0.01,0.01,0.01,0.01,0.01,666.01,138.01
"ASV_23",0.01,0.01,0.01,0.01,0.01,15.01,49.01,19.01,0.01,22.01,23.01,25.01,44.01,23.01,42.01,0.01,19.01,19.01,0.01,0.01,0.01,0.01,0.01,0.01,613.01,215.01,83.01,46.01,43.01,0.01,0.01
"ASV_24",0.01,3.01,0.01,0.01,0.01,0.01,0.01,211.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,658.01,0.01,0.01,0.01,0.01,0.01,347.01,134.01
"ASV_25",0.01,2.01,6.01,18.01,0.01,0.01,54.01,0.01,0.01,52.01,23.01,23.01,0.01,0.01,0.01,0.01,0.01,0.01,77.01,73.01,73.01,64.01,60.01,0.01,27.01,0.01,256.01,387.01,275.01,0.01,0.01
"ASV_26",116.01,105.01,162.01,72.01,0.01,0.01,0.01,74.01,0.01,0.01,17.01,0.01,47.01,57.01,55.01,44.01,72.01,26.01,49.01,41.01,60.01,46.01,113.01,49.01,0.01,0.01,36.01,0.01,30.01,98.01,46.01
"ASV_28",34.01,34.01,29.01,62.01,0.01,0.01,0.01,0.01,0.01,440.01,246.01,212.01,0.01,0.01,0.01,0.01,0.01,0.01,13.01,10.01,8.01,172.01,166.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_29",0.01,0.01,0.01,12.01,0.01,0.01,46.01,0.01,0.01,86.01,68.01,151.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,13.01,0.01,41.01,40.01,0.01,39.01,38.01,187.01,248.01,155.01,0.01,0.01
"ASV_30",0.01,4.01,7.01,7.01,0.01,0.01,15.01,0.01,0.01,39.01,0.01,28.01,23.01,28.01,42.01,33.01,78.01,77.01,47.01,44.01,46.01,28.01,11.01,0.01,32.01,26.01,82.01,56.01,112.01,0.01,43.01
"ASV_32",47.01,52.01,33.01,41.01,0.01,0.01,0.01,7.01,0.01,17.01,19.01,5.01,0.01,0.01,0.01,0.01,0.01,0.01,38.01,26.01,22.01,91.01,105.01,0.01,0.01,0.01,10.01,13.01,26.01,0.01,0.01
"ASV_35",0.01,0.01,0.01,0.01,0.01,0.01,43.01,0.01,0.01,0.01,2.01,7.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,224.01,819.01,66.01,31.01,0.01,0.01,0.01
"ASV_36",60.01,67.01,63.01,41.01,0.01,0.01,0.01,0.01,0.01,15.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,52.01,59.01,50.01,170.01,139.01,0.01,0.01,0.01,0.01,13.01,60.01,0.01,0.01
"ASV_37",35.01,0.01,15.01,17.01,0.01,0.01,77.01,14.01,18.01,58.01,80.01,69.01,30.01,0.01,0.01,26.01,0.01,0.01,144.01,198.01,246.01,75.01,81.01,0.01,36.01,21.01,237.01,313.01,117.01,0.01,0.01
"ASV_39",0.01,0.01,0.01,0.01,15.01,8.01,283.01,0.01,46.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,92.01,170.01,40.01,0.01,0.01,0.01,0.01
"ASV_40",0.01,0.01,0.01,0.01,0.01,0.01,0.01,193.01,0.01,0.01,0.01,0.01,453.01,402.01,417.01,285.01,163.01,102.01,0.01,0.01,0.01,0.01,0.01,262.01,0.01,0.01,0.01,0.01,0.01,127.01,43.01
"ASV_42",0.01,0.01,0.01,0.01,266.01,72.01,0.01,0.01,0.01,8.01,138.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_45",0.01,0.01,0.01,0.01,0.01,0.01,67.01,0.01,0.01,26.01,17.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,52.01,77.01,103.01,124.01,75.01,0.01,0.01
"ASV_46",0.01,0.01,0.01,0.01,0.01,0.01,0.01,63.01,0.01,0.01,0.01,0.01,113.01,188.01,212.01,171.01,90.01,104.01,0.01,0.01,0.01,0.01,0.01,55.01,0.01,0.01,0.01,0.01,0.01,39.01,29.01
"ASV_47",0.01,0.01,0.01,0.01,255.01,270.01,0.01,0.01,200.01,0.01,21.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_49",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,270.01,309.01,14.01,0.01,0.01,0.01,0.01
"ASV_52",0.01,0.01,0.01,8.01,8.01,19.01,40.01,0.01,28.01,61.01,66.01,26.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,11.01,0.01,0.01,0.01,0.01,30.01,15.01,0.01,0.01
"ASV_53",0.01,0.01,3.01,0.01,0.01,0.01,0.01,188.01,0.01,16.01,41.01,107.01,0.01,7.01,0.01,0.01,9.01,7.01,0.01,0.01,0.01,0.01,5.01,181.01,0.01,0.01,0.01,0.01,0.01,0.01,73.01
"ASV_54",0.01,7.01,5.01,19.01,0.01,0.01,0.01,143.01,0.01,0.01,0.01,0.01,0.01,32.01,74.01,0.01,0.01,0.01,68.01,65.01,45.01,126.01,56.01,87.01,0.01,0.01,0.01,0.01,12.01,0.01,0.01
"ASV_56",0.01,0.01,0.01,0.01,0.01,0.01,0.01,58.01,0.01,0.01,0.01,0.01,112.01,100.01,106.01,132.01,114.01,126.01,0.01,0.01,0.01,0.01,0.01,91.01,0.01,0.01,0.01,0.01,0.01,74.01,108.01
"ASV_59",12.01,8.01,6.01,0.01,0.01,0.01,0.01,45.01,0.01,0.01,0.01,0.01,87.01,89.01,73.01,157.01,37.01,38.01,88.01,43.01,47.01,9.01,9.01,42.01,0.01,0.01,19.01,0.01,12.01,11.01,42.01
"ASV_61",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,60.01,25.01,19.01,0.01,0.01,0.01,48.01,32.01,38.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_64",48.01,98.01,96.01,40.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_66",19.01,9.01,28.01,25.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,35.01,19.01,45.01,71.01,58.01,0.01,0.01,0.01,17.01,0.01,16.01,0.01,0.01
"ASV_67",0.01,0.01,0.01,0.01,14.01,6.01,154.01,0.01,13.01,4.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,116.01,76.01,20.01,0.01,0.01,0.01,0.01
"ASV_68",0.01,22.01,0.01,21.01,0.01,0.01,82.01,0.01,0.01,48.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,81.01,127.01,143.01,18.01,52.01,0.01,112.01,120.01,32.01,59.01,151.01,0.01,0.01
"ASV_69",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,39.01,23.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,61.01,45.01,183.01,0.01,0.01
"ASV_70",0.01,0.01,0.01,0.01,0.01,0.01,64.01,0.01,10.01,0.01,0.01,0.01,0.01,9.01,13.01,14.01,0.01,0.01,0.01,0.01,0.01,6.01,0.01,5.01,87.01,100.01,33.01,25.01,0.01,0.01,0.01
"ASV_71",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,96.01,76.01,106.01,43.01,115.01,152.01,0.01,0.01,0.01,0.01,0.01,66.01,0.01,0.01,0.01,0.01,0.01,77.01,86.01
"ASV_78",0.01,0.01,0.01,0.01,0.01,0.01,38.01,0.01,0.01,133.01,22.01,55.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7.01,0.01,6.01,0.01,0.01,0.01,140.01,92.01,144.01,0.01,0.01
"ASV_80",23.01,34.01,24.01,32.01,0.01,0.01,0.01,0.01,0.01,180.01,35.01,36.01,0.01,0.01,0.01,0.01,0.01,0.01,26.01,39.01,28.01,0.01,11.01,0.01,0.01,0.01,16.01,15.01,88.01,0.01,0.01
"ASV_83",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,31.01,54.01,63.01,0.01,0.01,0.01,90.01,62.01,12.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_86",0.01,1.01,9.01,10.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.01,12.01,9.01,21.01,13.01,16.01,0.01,0.01,0.01,0.01,0.01,197.01,129.01
"ASV_89",0.01,0.01,0.01,0.01,0.01,0.01,71.01,0.01,11.01,32.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,66.01,66.01,85.01,67.01,68.01,0.01,0.01
"ASV_90",0.01,0.01,6.01,8.01,0.01,0.01,0.01,0.01,0.01,10.01,22.01,18.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.01,5.01,7.01,8.01,0.01,0.01,0.01,63.01,120.01,79.01,0.01,0.01
"ASV_91",0.01,0.01,0.01,0.01,0.01,0.01,0.01,133.01,0.01,0.01,0.01,0.01,195.01,142.01,157.01,135.01,54.01,69.01,0.01,0.01,0.01,0.01,0.01,128.01,0.01,0.01,0.01,0.01,0.01,46.01,44.01
"ASV_92",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,46.01,112.01,192.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_93",0.01,0.01,0.01,0.01,2.01,2.01,125.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,92.01,50.01,16.01,0.01,0.01,0.01,0.01
"ASV_94",0.01,0.01,0.01,0.01,0.01,0.01,68.01,0.01,6.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,74.01,62.01,25.01,21.01,15.01,0.01,0.01
"ASV_95",0.01,0.01,0.01,0.01,0.01,5.01,38.01,0.01,8.01,0.01,6.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,90.01,55.01,41.01,101.01,27.01,0.01,0.01
"ASV_96",0.01,0.01,0.01,0.01,0.01,0.01,55.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,180.01,255.01,20.01,0.01,0.01,0.01,0.01
"ASV_99",0.01,0.01,0.01,0.01,0.01,0.01,0.01,20.01,0.01,0.01,0.01,0.01,0.01,0.01,20.01,17.01,12.01,0.01,0.01,0.01,3.01,0.01,0.01,10.01,0.01,0.01,0.01,0.01,0.01,0.01,17.01
"ASV_100",0.01,1.01,0.01,5.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7.01,0.01,0.01,0.01,0.01,0.01,0.01,23.01,46.01,50.01,68.01,54.01,0.01,0.01,0.01,58.01,46.01,30.01,0.01,0.01
"ASV_101",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.01,40.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,69.01,65.01,100.01,0.01,0.01
"ASV_102",0.01,0.01,0.01,0.01,0.01,0.01,91.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,22.01,21.01,47.01,89.01,32.01,0.01,0.01
"ASV_103",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,68.01,37.01,0.01,68.01,62.01,98.01,59.01,0.01,47.01,62.01,45.01,0.01,0.01,0.01,0.01,0.01,0.01,12.01,39.01
"ASV_104",0.01,0.01,0.01,0.01,0.01,0.01,0.01,23.01,0.01,0.01,0.01,0.01,50.01,74.01,61.01,61.01,97.01,126.01,0.01,0.01,0.01,0.01,0.01,44.01,0.01,0.01,0.01,0.01,0.01,46.01,89.01
"ASV_105",19.01,13.01,11.01,0.01,0.01,0.01,0.01,39.01,0.01,39.01,4.01,0.01,51.01,55.01,34.01,56.01,21.01,41.01,58.01,84.01,73.01,0.01,21.01,32.01,0.01,0.01,41.01,16.01,144.01,0.01,22.01
"ASV_107",0.01,0.01,0.01,0.01,15.01,0.01,18.01,0.01,3.01,0.01,25.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,52.01,49.01,17.01,38.01,0.01,0.01,0.01
"ASV_108",0.01,0.01,0.01,0.01,0.01,0.01,48.01,0.01,9.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,85.01,247.01,36.01,0.01,0.01,0.01,0.01
"ASV_111",29.01,18.01,19.01,24.01,0.01,0.01,0.01,0.01,0.01,0.01,9.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,32.01,39.01,42.01,43.01,63.01,0.01,0.01,0.01,27.01,26.01,0.01,0.01,0.01
"ASV_112",0.01,0.01,0.01,0.01,0.01,0.01,0.01,7.01,0.01,0.01,0.01,0.01,0.01,16.01,8.01,9.01,0.01,24.01,0.01,0.01,0.01,0.01,0.01,6.01,0.01,0.01,0.01,7.01,0.01,0.01,0.01
"ASV_113",59.01,55.01,41.01,38.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_114",0.01,0.01,0.01,0.01,0.01,0.01,0.01,22.01,0.01,0.01,0.01,0.01,38.01,70.01,96.01,93.01,111.01,115.01,0.01,0.01,0.01,0.01,0.01,30.01,0.01,0.01,0.01,0.01,0.01,40.01,83.01
"ASV_115",0.01,0.01,2.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,95.01,84.01,87.01,0.01,20.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_116",0.01,0.01,0.01,0.01,0.01,0.01,93.01,0.01,12.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,53.01,100.01,41.01,0.01,0.01,0.01,0.01
"ASV_118",0.01,0.01,4.01,0.01,0.01,0.01,0.01,0.01,0.01,27.01,18.01,17.01,0.01,0.01,20.01,0.01,0.01,0.01,0.01,0.01,0.01,38.01,33.01,0.01,0.01,0.01,54.01,37.01,51.01,0.01,0.01
"ASV_120",0.01,0.01,0.01,0.01,8.01,3.01,69.01,0.01,15.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,106.01,252.01,24.01,0.01,0.01,0.01,0.01
"ASV_121",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,202.01,188.01,86.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_122",25.01,39.01,43.01,29.01,0.01,0.01,0.01,15.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20.01,16.01,10.01,33.01,23.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_126",0.01,0.01,8.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,39.01,44.01,48.01,20.01,14.01,0.01,9.01,11.01,23.01,12.01,0.01,0.01,0.01
"ASV_128",29.01,20.01,25.01,15.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,25.01,25.01,9.01,84.01,53.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_129",0.01,0.01,0.01,2.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,84.01,48.01,23.01,35.01,31.01,0.01,0.01,0.01,25.01,32.01,21.01,0.01,0.01
"ASV_130",0.01,0.01,0.01,0.01,0.01,7.01,58.01,0.01,6.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,68.01,77.01,27.01,0.01,0.01,0.01,0.01
"ASV_131",0.01,0.01,0.01,0.01,0.01,0.01,84.01,0.01,5.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,101.01,145.01,30.01,0.01,0.01,0.01,0.01
"ASV_133",0.01,0.01,0.01,0.01,0.01,0.01,0.01,53.01,0.01,0.01,0.01,0.01,47.01,74.01,123.01,55.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,37.01
"ASV_134",0.01,0.01,0.01,0.01,0.01,0.01,0.01,71.01,0.01,0.01,0.01,0.01,67.01,0.01,0.01,50.01,81.01,58.01,0.01,0.01,0.01,0.01,0.01,53.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_136",0.01,0.01,0.01,1.01,0.01,0.01,0.01,116.01,0.01,0.01,0.01,0.01,128.01,89.01,74.01,129.01,51.01,61.01,0.01,0.01,0.01,0.01,0.01,92.01,0.01,0.01,0.01,0.01,0.01,27.01,41.01
"ASV_137",0.01,0.01,0.01,0.01,0.01,1.01,216.01,0.01,21.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,82.01,80.01,86.01,0.01,0.01,0.01,0.01
"ASV_138",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,29.01,48.01,200.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_139",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,40.01,157.01,420.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_140",12.01,8.01,19.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,15.01,5.01,8.01,19.01,21.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_141",0.01,0.01,4.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,50.01,25.01,38.01,0.01,6.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_145",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,83.01,69.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,44.01
"ASV_146",3.01,6.01,2.01,7.01,0.01,0.01,0.01,0.01,0.01,2.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,56.01,77.01,56.01,31.01,47.01,0.01,0.01,0.01,19.01,38.01,18.01,0.01,0.01
"ASV_148",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,58.01,42.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,32.01,47.01
"ASV_149",4.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.01,0.01,0.01,0.01,23.01,0.01,0.01,0.01,0.01,0.01,18.01,12.01
"ASV_150",0.01,0.01,0.01,0.01,0.01,1.01,18.01,0.01,3.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,49.01,60.01,36.01,33.01,17.01,0.01,0.01
"ASV_151",0.01,0.01,0.01,0.01,0.01,0.01,0.01,12.01,0.01,0.01,0.01,0.01,20.01,25.01,8.01,0.01,98.01,105.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16.01,53.01
"ASV_152",0.01,0.01,0.01,0.01,0.01,0.01,107.01,0.01,12.01,0.01,0.01,0.01,0.01,0.01,0.01,8.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,151.01,208.01,46.01,6.01,0.01,0.01,0.01
"ASV_153",0.01,0.01,0.01,0.01,0.01,0.01,0.01,36.01,0.01,0.01,0.01,0.01,50.01,0.01,60.01,42.01,77.01,59.01,0.01,0.01,0.01,0.01,0.01,51.01,0.01,0.01,0.01,0.01,0.01,30.01,37.01
"ASV_155",0.01,3.01,6.01,2.01,0.01,0.01,0.01,7.01,0.01,4.01,2.01,6.01,5.01,0.01,12.01,12.01,8.01,8.01,19.01,22.01,22.01,9.01,6.01,11.01,0.01,0.01,25.01,22.01,22.01,0.01,6.01
"ASV_156",0.01,0.01,0.01,0.01,24.01,0.01,22.01,6.01,0.01,17.01,24.01,40.01,0.01,0.01,0.01,11.01,0.01,0.01,19.01,31.01,32.01,27.01,31.01,0.01,60.01,0.01,45.01,111.01,49.01,0.01,0.01
"ASV_158",0.01,0.01,3.01,0.01,0.01,0.01,71.01,0.01,0.01,0.01,20.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,37.01,35.01,41.01,40.01,27.01,0.01,0.01
"ASV_159",0.01,0.01,0.01,0.01,0.01,0.01,0.01,31.01,0.01,0.01,0.01,0.01,39.01,24.01,42.01,32.01,60.01,77.01,0.01,0.01,0.01,0.01,0.01,31.01,0.01,0.01,0.01,0.01,0.01,23.01,53.01
