UTRR,UTerr_R,UTSig_adjust_R,UTICl_R,UTICu_R,ID,Kingdom,Phylum,Class,Order,Family,Genus
0,0,0,0,0,ASV_324,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,UCG-004
-7.123672785,4.294121294,1,-11.41779408,-2.829551492,ASV_326,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,KF-JG30-B3,NA
0,0,0,0,0,ASV_330,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,E1B-B3-114
0,0,0,0,0,ASV_331,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidisoma
0,0,0,0,0,ASV_332,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
0,0,0,0,0,ASV_333,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sulfuricellaceae,Sulfuricella
-6.293419279,4.289640516,1,-10.58305979,-2.003778763,ASV_334,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
-7.057036982,2.027502362,1,-9.084539344,-5.02953462,ASV_336,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
0,0,0,0,0,ASV_338,Bacteria,Verrucomicrobiota,Lentisphaeria,Oligosphaerales,Lenti-02,NA
0,0,0,0,0,ASV_343,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
0,0,0,0,0,ASV_344,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus
0,0,0,0,0,ASV_345,Bacteria,Caldisericota,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum
-0.840686266,3.48945575,-264.766916,-4.330142016,2.648769484,ASV_347,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA
5.957686141,2.439084559,1,3.518601581,8.3967707,ASV_348,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,NA
0,0,0,0,0,ASV_349,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Nitrobacter
0,0,0,0,0,ASV_352,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
0,0,0,0,0,ASV_355,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Huanghella
0,0,0,0,0,ASV_360,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus
0,0,0,0,0,ASV_361,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA
0,0,0,0,0,ASV_362,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Syntrophaceae,Syntrophus
0,0,0,0,0,ASV_366,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter
-5.771441123,4.284196182,1,-10.0556373,-1.487244942,ASV_367,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA
0,0,0,0,0,ASV_368,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
0,0,0,0,0,ASV_369,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter
0.09236583,5.305495832,-2995.320542,-5.213130001,5.397861662,ASV_371,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,Ruminiclostridium
0,0,0,0,0,ASV_372,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,A21b,NA
0,0,0,0,0,ASV_373,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas
