RR,err,Sig,ID,Kingdom,Phylum,Class,Order,Family,Genus
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6852,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Terracoccus
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6855,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6857,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 8
1.9810014688665833,1.6896551724137931,1.0694322179868758,ASV_6858,Bacteria,Firmicutes,Symbiobacteriia,Symbiobacteriales,Symbiobacteraceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6859,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6860,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Terracoccus
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6863,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 13
1.9810014688665833,1.6896551724137931,1.0694322179868758,ASV_6864,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6865,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6867,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6871,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
1.9810014688665833,1.6896551724137931,1.0694322179868758,ASV_6872,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6873,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6874,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6878,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6880,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Tibeticola
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6884,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Millisia
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6886,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6887,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6888,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6890,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6892,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6893,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,Desulfosporosinus
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6894,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6896,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1
1.9810014688665833,1.6896551724137931,1.0694322179868758,ASV_6899,Bacteria,Caldisericota,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6901,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA
1.9810014688665833,1.6896551724137931,1.0694322179868758,ASV_6905,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
1.9810014688665833,1.6896551724137931,1.0694322179868758,ASV_6907,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,Desulfosporosinus
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6909,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA
1.9810014688665833,1.6896551724137931,1.0694322179868758,ASV_6910,Bacteria,Firmicutes,Desulfotomaculia,Desulfotomaculales,Pelotomaculaceae,Pelotomaculum
