,AT3_R5_POST_SOIL,AT3_R6_POST_SOIL,AT3_R7_POST_SOIL,AT3_R7_PRE_SOIL,AT3_R8_POST_SOIL,AT3_R8_PRE_SOIL,AT4_R5_POST_SOIL,AT4_R5_PRE_SOIL,AT4_R6_POST_SOIL,AT4_R6_PRE_SOIL,AT4_R7_POST_SOIL,AT4_R7_PRE_SOIL,AT4_R8_POST_SOIL,AT4_R8_PRE_SOIL,BEO1_R5_POST_SOIL,BEO1_R5_PRE_SOIL,BEO1_R6_POST_SOIL,BEO1_R6_PRE_SOIL,BEO1_R7_POST_SOIL,BEO1_R7_PRE_SOIL,BEO1_R8_POST_SOIL,BEO1_R8_PRE_SOIL,BEO2B_R5_POST_SOIL,BEO2B_R5_PRE_SOIL,BEO2B_R6_POST_SOIL,BEO2B_R6_PRE_SOIL,BEO2B_R7_POST_SOIL,BEO2B_R7_PRE_SOIL,BEO2B_R8_POST_SOIL,BEO2B_R8_PRE_SOIL,FL1C4_R5_POST_SOIL,FL1C4_R5_PRE_SOIL,FL1C4_R6_POST_SOIL,FL1C4_R6_PRE_SOIL,FL1C4_R7_PRE_SOIL,FL2C3_R5_POST_SOIL,FL2C3_R5_PRE_SOIL,FL2C3_R6_POST_SOIL,FL2C3_R6_PRE_SOIL,FL2C3_R7_POST_SOIL,FL2C3_R7_PRE_SOIL,FL2C3_R8_POST_SOIL,FL2C3_R8_PRE_SOIL
sp197,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp209,3,0,2,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp212,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp214,3,16,3,0,9,0,0,0,0,11,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp230,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,49,7,77,321,100,40,114,8,84,5,38,6,32,0,65,0,0,1,0,0,0,1,0,0,0,4,0,1
sp236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,10,0,45,0,24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sp240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,7,3,0,0,1,13,12,0,0,0,0,0,0,0,0
sp249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,18,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,3,0,0,4,0,0,0,0,0,0
sp250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,26,0,30,0,0,139,147,33,103,15,146,67,20,10,51,30,116,49,7,10,17,22,4,32,9,22
sp253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
sp264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,56,21,98,0,55,204,403,175,412,168,346,35,171,11,63,17,116,105,19,32,20,30,3,56,18,51
sp268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sp276,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
sp298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
