	1_S1_L001	10_S10_L001	11_S11_L001	12_S12_L001	13_S13_L001	14_S14_L001	15_S15_L001	16_S16_L001	17_S17_L001	2_S2_L001	3_S3_L001	4_S4_L001	5_S5_L001	6_S6_L001	8_S8_L001	9_S9_L001	1_S72_L002	10_S81_L002	11_S82_L002	12_S83_L002	13_S84_L002	14_S85_L002	15_S86_L002	16_S87_L002	17_S88_L002	18_S89_L002	19_S90_L002	2_S73_L002	20_S91_L002	21_S92_L002	22_S93_L002	23_S94_L002	24_S95_L002	25_S96_L002	26_S97_L002	27_S98_L002	28_S99_L002	29_S100_L002	3_S74_L002	30_S101_L002	31_S102_L002	32_S103_L002	33_S104_L002	34_S105_L002	35_S106_L002	36_S107_L002	37_S108_L002	38_S109_L002	39_S110_L002	4_S75_L002	40_S111_L002	41_S112_L002	42_S113_L002	43_S114_L002	44_S115_L002	45_S116_L002	46_S117_L002	47_S118_L002	48_S119_L002	49_S120_L002	5_S76_L002	50_S121_L002	51_S122_L002	52_S123_L002	53_S124_L002	6_S77_L002	7_S78_L002	8_S79_L002	9_S80_L002
ASV_28	0	181	399	1248	1607	4882	4889	4647	286	0	0	13	0	0	259	166	0	0	0	23	0	23	33	0	27	0	411	0	53	276	111	59	49	0	0	0	0	0	0	0	0	0	31	28	31	49	8	40	59	0	31	175	146	505	384	297	223	535	97	31	0	63	0	0	0	0	0	0	0
ASV_29	3658	1410	391	0	0	0	0	67	0	3131	2383	3110	1402	3698	261	301	87	0	28	16	0	0	0	0	0	0	0	220	0	0	0	0	0	172	109	194	148	173	66	90	176	71	0	0	15	30	0	0	0	187	0	0	0	0	0	0	0	0	0	0	59	20	11	0	0	128	80	91	0
ASV_30	22	3306	4309	2982	1401	583	364	1463	223	48	50	82	0	19	1031	1774	0	62	74	222	22	0	44	32	0	0	151	14	49	146	142	74	38	27	0	0	32	0	0	0	0	0	170	330	478	424	0	91	184	0	0	34	0	53	30	379	410	179	35	38	0	40	0	74	0	0	0	0	19
ASV_31	427	47	94	44	11	0	0	0	0	260	0	0	1650	17406	35	121	0	0	0	0	4	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	11	54	364	0
ASV_32	0	1950	3230	619	1717	4023	2430	1431	30	0	0	0	0	0	406	1902	0	59	58	162	32	61	0	21	0	0	187	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	90	221	253	219	15	20	124	0	46	188	107	177	188	59	73	222	0	0	0	0	0	0	0	0	0	0	0
ASV_33	4939	0	0	0	0	0	0	0	0	3612	2264	3973	764	1447	0	0	36	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	476	427	526	363	236	37	73	127	75	0	0	0	0	0	0	0	398	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	47	31	49	0
ASV_34	10560	377	188	127	100	0	0	0	326	2156	464	162	1912	1032	81	169	168	7	13	0	0	0	4	0	0	0	0	224	0	33	86	108	47	0	7	0	0	10	60	13	9	11	0	0	0	0	0	0	10	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	110	57	0
ASV_35	1200	2776	2851	458	823	133	89	461	0	932	775	890	290	555	1814	2773	0	85	73	144	0	17	14	9	0	0	0	60	0	0	0	0	0	90	96	96	196	50	23	22	49	18	99	73	88	171	7	14	27	66	0	0	0	0	0	27	0	19	0	0	17	0	0	0	0	46	17	18	30
ASV_36	0	0	0	0	0	2208	7997	5994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	102	0	11	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	234	392	1208	105	38	0	105	0	0	16	0	0	0	0	0	0	0
ASV_37	452	4310	5513	366	310	0	0	0	0	336	78	133	37	22	1025	3072	0	122	145	254	21	36	0	25	0	0	0	0	0	0	0	0	0	23	20	26	24	0	0	0	0	0	110	98	292	177	0	9	11	30	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	25
