""	"1_S72_L002"	"10_S81_L002"	"11_S82_L002"	"12_S83_L002"	"13_S84_L002"	"14_S85_L002"	"15_S86_L002"	"16_S87_L002"	"17_S88_L002"	"18_S89_L002"	"19_S90_L002"	"2_S73_L002"	"20_S91_L002"	"21_S92_L002"	"22_S93_L002"	"23_S94_L002"	"24_S95_L002"	"25_S96_L002"	"26_S97_L002"	"27_S98_L002"	"28_S99_L002"	"29_S100_L002"	"3_S74_L002"	"30_S101_L002"	"31_S102_L002"	"32_S103_L002"	"33_S104_L002"	"34_S105_L002"	"35_S106_L002"	"36_S107_L002"	"37_S108_L002"	"38_S109_L002"	"39_S110_L002"	"4_S75_L002"	"40_S111_L002"	"41_S112_L002"	"42_S113_L002"	"43_S114_L002"	"44_S115_L002"	"45_S116_L002"	"46_S117_L002"	"47_S118_L002"	"48_S119_L002"	"49_S120_L002"	"5_S76_L002"	"50_S121_L002"	"51_S122_L002"	"52_S123_L002"	"53_S124_L002"	"6_S77_L002"	"7_S78_L002"	"8_S79_L002"	"9_S80_L002"
"ASV_33"	0	0	0	0	0	0	7	0	0	13	0	0	0	455	858	516	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	8	11	0	0	0	0	0	58	0	0	0	0	0
"ASV_34"	0	49	56	182	86	157	169	83	0	0	0	0	0	32	0	0	5	0	0	0	0	0	0	0	0	0	61	87	108	132	89	204	334	0	102	0	0	0	0	0	24	88	0	0	0	0	0	163	0	0	0	0	0
"ASV_35"	87	0	28	16	0	0	0	0	0	0	0	220	0	0	0	0	0	172	109	194	148	173	66	90	176	71	0	0	15	30	0	0	0	187	0	0	0	0	0	0	0	0	0	0	59	20	11	0	0	128	80	91	0
"ASV_36"	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1051	172	442	465	27	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_37"	0	0	0	0	0	0	0	0	0	0	119	0	0	237	156	235	94	0	0	0	0	0	0	0	0	0	0	14	0	23	0	47	80	0	0	0	0	81	58	297	329	238	99	0	0	0	0	0	0	0	0	0	0
"ASV_38"	0	0	0	0	0	0	0	0	276	1011	0	0	572	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_39"	0	100	108	155	0	21	17	0	0	0	0	163	0	0	0	0	0	0	33	55	0	0	15	0	0	0	86	109	97	287	5	145	115	138	34	0	0	0	0	0	0	21	0	0	0	0	0	9	0	0	38	43	64
"ASV_40"	0	11	20	66	0	6	17	12	0	0	37	0	0	102	0	29	20	22	30	53	40	98	0	65	88	32	66	69	77	115	0	35	34	0	0	40	25	44	37	141	74	163	33	0	0	0	19	0	0	46	25	15	0
"ASV_41"	0	85	73	144	0	17	14	9	0	0	0	60	0	0	0	0	0	90	96	96	196	50	23	22	49	18	99	73	88	171	7	14	27	66	0	0	0	0	0	27	0	19	0	0	17	0	0	0	0	46	17	18	30
"ASV_42"	0	21	13	187	24	34	41	0	0	0	0	46	0	88	5	0	0	54	51	41	73	34	0	29	50	0	78	136	139	130	0	0	43	64	0	0	0	0	0	67	21	219	10	0	0	0	6	0	0	24	0	0	0
"ASV_43"	0	0	0	0	0	0	0	0	60	914	37	0	6	515	47	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	51	19	10	8	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_44"	44	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	113	107	143	169	171	0	97	162	82	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	118	67	86	0
"ASV_45"	26	0	0	28	0	0	0	0	0	0	0	95	0	0	0	0	0	90	142	137	84	155	55	45	125	46	0	0	0	62	0	0	0	121	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	58	45	107	0
"ASV_46"	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	136	131	126	97	220	0	105	174	80	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	146	85	104	0
"ASV_47"	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	202	150	201	175	84	44	63	77	40	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	45	0	33	0
"ASV_48"	0	122	145	254	21	36	0	25	0	0	0	0	0	0	0	0	0	23	20	26	24	0	0	0	0	0	110	98	292	177	0	9	11	30	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	25
"ASV_49"	0	57	17	107	29	69	52	56	0	0	0	0	0	370	76	41	81	0	0	0	0	0	0	0	0	0	30	61	51	94	12	0	25	0	21	0	0	0	0	26	21	123	0	0	0	0	20	58	0	0	0	0	12
"ASV_50"	43	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	124	100	91	92	171	36	129	157	72	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	121	51	72	0
"ASV_51"	18	5	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	115	193	249	214	125	13	45	133	49	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	30	42	31	0
"ASV_52"	0	0	0	0	0	0	0	0	17	34	603	0	120	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	59	149	263	65	52	0	0	0	0	14	0	0	0	0	0	0	0
"ASV_53"	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	117	143	55	160	29	151	191	102	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	139	0	0	0
"ASV_54"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	702	0	0	0	0	98	193	198	0
"ASV_55"	23	0	15	24	0	0	0	0	0	0	0	74	0	0	0	0	0	108	106	125	179	108	0	57	119	34	20	36	27	71	0	0	12	62	9	0	0	0	0	0	0	0	0	0	50	0	9	0	0	67	28	45	0
"ASV_56"	168	7	13	0	0	0	4	0	0	0	0	224	0	33	86	108	47	0	7	0	0	10	60	13	9	11	0	0	0	0	0	0	10	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	110	57	0
"ASV_57"	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	106	131	103	82	203	0	105	143	60	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	86	36	56	0
"ASV_58"	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	187	291	374	34	0	0	0	22	0	0	0	0	0	0	0	0	0
"ASV_59"	0	8	11	26	54	94	93	77	0	0	0	9	0	30	39	5	0	0	0	0	0	0	0	0	0	0	50	43	46	143	28	107	220	0	48	0	0	0	0	14	19	40	0	0	0	25	7	32	0	0	0	0	8
"ASV_60"	0	0	0	72	0	0	0	0	0	0	177	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	75	83	86	84	0	0	0	0	0	56	42	132	87	104	99	52	0	0	0	0	0	76	0	0	0	0	0
"ASV_61"	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	73	77	71	51	161	0	83	157	75	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	42	85	0	0	0	0	105	58	81	0
