"crrelRR"	"crrelerr_R"	"crrelSig_adjust_R"	"crrelICl_R"	"crrelICu_R"
"ASV_284"	-1.07831041419953	3.24904486018571	-519.680370398801	-4.32735527438524	2.17073444598618
"ASV_285"	-1.47611247431797	5.12842885139452	-1808.74187485485	-6.60454132571249	3.65231637707655
"ASV_286"	0.699290886801312	2.05146809082862	-160.700698769069	-1.3521772040273	2.75075897762993
"ASV_287"	0	0	0	0	0
"ASV_288"	-1.59151531283117	2.87034857731132	-273.91722865644	-4.46186389014249	1.27883326448016
"ASV_289"	-0.864641804725058	1.57349278440407	-64.5293450105519	-2.43813458912913	0.708850979679015
"ASV_290"	0	0	0	0	0
"ASV_291"	0	0	0	0	0
"ASV_292"	0	0	0	0	0
"ASV_293"	0	0	0	0	0
"ASV_294"	16.6468347288918	5.03677015690959	1	11.6100645719822	21.6836048858014
"ASV_295"	0	0	0	0	0
"ASV_296"	-0.42989382724961	1.08859799865123	-34.6379747837345	-1.51849182590084	0.658704171401622
"ASV_297"	0	0	0	0	0
"ASV_298"	-19.3073857126896	1.08694158756265	1	-20.3943273002523	-18.220444125127
"ASV_299"	0.0418108089204996	0.816896524198549	-22.0391709052322	-0.77508571527805	0.858707333119049
"ASV_300"	0	0	0	0	0
"ASV_301"	0	0	0	0	0
"ASV_302"	0.191891646443544	1.34508377765569	-66.7271324725292	-1.15319213121214	1.53697542409923
"ASV_303"	-18.5609781316811	5.0367704099759	1	-23.597748541657	-13.5242077217052
"ASV_304"	0	0	0	0	0
"ASV_305"	0	0	0	0	0
"ASV_306"	-1.50382392646977	3.61761659382638	-633.685446403011	-5.12144052029614	2.11379266735661
"ASV_307"	-19.3310171718307	2.67623294888199	1	-22.0072501207127	-16.6547842229487
"ASV_308"	0	0	0	0	0
"ASV_309"	-18.6396759656126	2.42542963195567	1	-21.0651055975683	-16.214246333657
"ASV_310"	0	0	0	0	0
"ASV_311"	-0.00592112269137	1.56395709131964	-94.8371502777467	-1.56987821401101	1.55803596862827
"ASV_312"	0	0	0	0	0
"ASV_313"	-0.257405556926676	1.12231198877832	-42.6261891931766	-1.37971754570499	0.864906431851641
"ASV_314"	-1.19234070444173	2.27821281129732	-163.599528529455	-3.47055351573905	1.08587210685558
"ASV_315"	-0.680845530703285	1.18331284533264	-32.0697563054442	-1.86415837603593	0.502467314629359
"ASV_316"	-0.178941495126694	1.96581048330458	-167.977206311847	-2.14475197843127	1.78686898817789
"ASV_317"	0	0	0	0	0
"ASV_318"	0	0	0	0	0
"ASV_319"	-1.18753016412613	1.60864503544478	-41.7326442742101	-2.79617519957091	0.421114871318641
"ASV_320"	-0.700070502454749	2.16571062489502	-185.894873653448	-2.86578112734977	1.46564012244027
"ASV_321"	-0.568273085443929	1.24949298465917	-44.7612811005778	-1.8177660701031	0.681219899215244
"ASV_322"	-0.516281526711651	1.33761892274224	-56.3887974935854	-1.85390044945389	0.821337396030592
"ASV_323"	0	0	0	0	0
"ASV_324"	0.0558391565718441	1.6716551599953	-111.077116267786	-1.61581600342346	1.72749431656714
"ASV_325"	0	0	0	0	0
"ASV_326"	0	0	0	0	0
"ASV_327"	0	0	0	0	0
"ASV_328"	-1.16003939163981	5.16212571053422	-2013.71657223236	-6.32216510217403	4.00208631889441
"ASV_329"	0	0	0	0	0
"ASV_330"	-0.244588154348719	5.60449003101769	-4182.98458379654	-5.84907818536641	5.35990187666897
"ASV_331"	-0.978583399707244	1.29549019219568	-24.0390925547411	-2.27407359190292	0.316906792488433
"ASV_332"	-0.666248336142092	2.91335709188054	-421.855832206027	-3.57960542802263	2.24710875573844
"ASV_333"	0	0	0	0	0
"ASV_334"	0	0	0	0	0
"ASV_335"	0	0	0	0	0
"ASV_336"	0	0	0	0	0
"ASV_337"	0	0	0	0	0
"ASV_338"	0	0	0	0	0
"ASV_339"	0	0	0	0	0
"ASV_340"	0	0	0	0	0
"ASV_341"	-2.68984071200118	5.29090202545524	-1405.52965649178	-7.98074273745642	2.60106131345405
"ASV_342"	0	0	0	0	0
"ASV_343"	-0.509857908528033	1.75537104367093	-112.76789388923	-2.26522895219896	1.2455131351429
"ASV_344"	-1.82556335413624	5.59310019048898	-2726.78655984031	-7.41866354462523	3.76753683635274
"ASV_345"	-1.05525937748468	2.66438589414456	-290.402948024502	-3.71964527162924	1.60912651665987
"ASV_346"	18.500680985699	3.25673007680369	1	15.2439509088953	21.7574110625027
"ASV_347"	0	0	0	0	0
"ASV_348"	0	0	0	0	0
"ASV_349"	0	0	0	0	0
"ASV_350"	-1.21155653676549	3.37189261875935	-561.493412681875	-4.58344915552484	2.16033608199386
"ASV_351"	-1.23250844472971	1.20269106178692	0.0869820582540069	-2.43519950651663	-0.0298173829427952
