absabundRR,absabunderr_R,absabundSig_adjust_R,absabundICl_R,absabundICu_R,ID,Kingdom,Phylum,Class,Order,Family,Genus
-15.349919814017944,7.687750840068007,1,-23.03767065408595,-7.662168973949938,ASV_14796,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
-16.383192771253498,7.687751907665145,1,-24.070944678918643,-8.695440863588352,ASV_14812,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sulfuricellaceae,Sulfuricella
-15.13304979996663,7.687750438686916,1,-22.820800238653547,-7.445299361279713,ASV_14814,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Terracoccus
-15.82619685406854,7.687751468051735,1,-23.513948322120275,-8.138445386016805,ASV_14815,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,NA
-15.82619685406854,7.687751468051735,1,-23.513948322120275,-8.138445386016805,ASV_14816,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,NA
-15.13304979996663,7.687750438686916,1,-22.820800238653547,-7.445299361279713,ASV_14817,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Telluria
-15.82619685406854,7.687751468051735,1,-23.513948322120275,-8.138445386016805,ASV_14818,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
-16.231661920024024,7.687751811173403,1,-23.919413731197427,-8.543910108850621,ASV_14819,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
-15.82619685406854,7.687751468051735,1,-23.513948322120275,-8.138445386016805,ASV_14820,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanosarcina
-15.82619685406854,7.687751468051735,1,-23.513948322120275,-8.138445386016805,ASV_14821,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus
