"AT3_R5_POST_SOIL","AT3_R5_PRE_SOIL","AT3_R6_POST_SOIL","AT3_R6_PRE_SOIL","AT3_R7_POST_SOIL","AT3_R7_PRE_SOIL","AT3_R8_POST_SOIL","AT3_R8_PRE_SOIL","AT4_R5_POST_SOIL","AT4_R5_PRE_SOIL","AT4_R6_POST_SOIL","AT4_R6_PRE_SOIL","AT4_R7_POST_SOIL","AT4_R7_PRE_SOIL","AT4_R8_POST_SOIL","AT4_R8_PRE_SOIL","BEO1_R5_POST_SOIL","BEO1_R5_PRE_SOIL","BEO1_R6_POST_SOIL","BEO1_R6_PRE_SOIL","BEO1_R7_POST_SOIL","BEO1_R7_PRE_SOIL","BEO1_R8_POST_SOIL","BEO1_R8_PRE_SOIL","BEO2B_R5_POST_SOIL","BEO2B_R5_PRE_SOIL","BEO2B_R6_POST_SOIL","BEO2B_R6_PRE_SOIL","BEO2B_R7_POST_SOIL","BEO2B_R7_PRE_SOIL","BEO2B_R8_POST_SOIL","BEO2B_R8_PRE_SOIL","DNA_BLANK_1_POST_THAW_SOIL","DNA_BLANK_1_PRE_THAW_SOIL","DNA_BLANK_2_POST_THAW_SOIL","DNA_BLANK_2_PRE_THAW_SOIL","FL1C4_R5_POST_SOIL","FL1C4_R5_PRE_SOIL","FL1C4_R6_POST_SOIL","FL1C4_R6_PRE_SOIL","FL1C4_R7_POST_SOIL","FL1C4_R7_PRE_SOIL","FL1C4_R8_POST_SOIL","FL2C3_R5_POST_SOIL","FL2C3_R5_PRE_SOIL","FL2C3_R6_POST_SOIL","FL2C3_R6_PRE_SOIL","FL2C3_R7_POST_SOIL","FL2C3_R7_PRE_SOIL","FL2C3_R8_POST_SOIL","FL2C3_R8_PRE_SOIL","PCR_BLANK"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,32,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,21,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,28,60,28,0,0,14,49,0,757,132,44,254,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
