Combined_Sample1	Combined_Sample15	Combined_Sample13	Combined_Sample40	Combined_Sample41	Combined_Sample42	Combined_Sample48	Combined_Sample24	Combined_Sample3	Combined_Sample6	Combined_Sample32	Combined_Sample7	Combined_Sample8	Combined_Sample9	Combined_Sample10
0	516	0	0	0	0	0	0	0	0	0	0	0	0	2505
439	76	0	0	0	0	0	0	188	1117	1225	316	1811	695	168
1761	0	0	0	0	0	0	0	2761	370	779	0	307	0	0
0	629	0	0	0	0	0	0	0	0	0	0	0	606	972
506	265	745	874	200	306	248	19	287	654	427	160	259	146	139
0	0	28	0	1289	2871	1471	0	0	0	0	0	0	0	0
415	0	0	0	0	0	0	0	94	1259	1406	542	1805	0	0
995	0	0	0	0	0	0	0	974	904	1068	473	1191	0	0
940	0	0	0	0	0	0	0	603	1019	987	649	1386	0	0
394	808	375	327	0	0	223	0	258	125	108	49	82	642	1353
304	0	0	0	0	0	0	0	324	1713	1802	449	1008	0	0
112	0	0	0	0	0	0	0	48	1804	1188	805	1538	0	0
975	0	0	0	0	0	15	0	1066	1076	1382	281	640	0	0
0	594	1551	1373	0	0	213	10	0	0	0	0	0	158	663
0	0	0	0	1326	2831	1009	0	0	0	0	0	0	0	0
80	0	93	36	966	2376	1547	0	59	25	35	0	0	0	0
0	0	175	153	1021	1768	1827	0	0	0	0	0	0	0	0
0	0	22	30	692	3060	1469	0	0	0	0	0	0	0	0
10	838	873	1366	0	0	0	0	0	0	0	0	0	476	669
0	0	0	0	1039	2441	1243	0	0	0	0	0	0	0	0
613	276	61	29	0	0	0	0	715	1036	1289	359	637	115	120
0	736	1193	1357	6	0	99	52	0	0	0	0	0	464	618
503	133	0	0	22	15	0	0	268	1215	1168	631	1191	13	7
528	0	0	0	0	0	0	0	329	1365	1249	453	1047	7	8
0	0	20	0	1481	2121	1280	0	0	3	0	0	0	0	0
75	493	914	303	31	48	150	30	0	0	0	0	0	243	753
0	0	0	0	1120	1711	1062	0	0	0	0	0	0	0	0
544	0	0	0	0	0	0	0	605	663	1755	231	764	0	0
0	541	65	166	363	122	339	0	0	0	0	0	0	362	912
5	17	54	125	0	0	80	2791	39	14	0	0	0	0	18
78	0	0	0	0	0	0	117	4449	0	0	0	0	0	150
1551	0	0	0	0	0	0	0	1403	486	555	131	227	0	0
70	338	1332	1384	0	0	0	24	20	0	0	0	0	374	206
574	32	0	0	0	0	0	0	333	1175	881	217	1066	17	11
428	0	0	0	0	0	0	0	503	592	803	373	1860	0	0
