"","X1_S1_L001_reseq","X2_S73_L002","X4_S75_L002","X3_S3_L001_reseq","X5_S5_L001_reseq","X6_S6_L001_reseq","X29_S100_L002","X31_S102_L002","X4_S4_L001_reseq","X8_S8_L001_reseq","X9_S9_L001_reseq","X12_S12_L001_reseq","X14_S85_L002","X15_S86_L002","X16_S87_L002","X33_S104_L002","X34_S105_L002","X35_S106_L002","X38_S109_L002","X39_S110_L002","X13_S13_L001_reseq","X17_S88_L002","X18_S89_L002","X19_S90_L002","X20_S91_L002","X21_S92_L002","X22_S93_L002","X23_S94_L002","X17_S17_L001_reseq","X14_S14_L001_reseq","X15_S15_L001_reseq","X43_S114_L002","X44_S115_L002","X45_S116_L002","X46_S117_L002","X47_S118_L002","X16_S16_L001_reseq"
"ASV_705",971044.720964573,0.01,0.01,5059380.52552664,0.01,410313.596886039,0.01,0.01,646221.613178508,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5946315.86,0.01,511240.378,0.01,0.01,537770.203,0.01,0.01,0.01,0.01,0.01,786289.34,6371508.294,1001020.064
"ASV_706",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2326379.12071279,3677116.48209123,0.01,0.01,0.01,3409173.93613847,1173201.7293742,6721596.18586552,9057831.60854492,0.01,72873.9239083596,81779.8850725671,0.01,0.01,0.01,0.01,0.01,847655.239,0.01,1613310.609,667917.126,2086355.01,0.01,0.01,942685.536,1769151.015,12743016.588,1001020.064
"ASV_707",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7354232.96418246,4732783.70314705,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,61334.9138044253,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_710",0.01,0.01,0.01,919887.36827757,0.01,0.01,0.01,0.01,1938664.83953552,0.01,0.01,1577594.56771568,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2671668.504,12518130.06,0.01,32175683.7,0.01,0.01,0.01,1501530.096
"ASV_711",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_712",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2326379.12071279,0.01,3155189.13543137,0.01,0.01,0.01,0.01,0.01,13586747.4128174,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_713",12623581.3725394,3563261.83854138,4166537.6944842,0.01,0.01,0.01,0.01,0.01,1292443.22635702,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,8691086.426,0.01,0.01,8066553.045,0.01,0.01,0.01,0.01,0.01,982861.675,14866852.686,0.01
"ASV_716",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,646221.613178508,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4089923.024,0.01,0.01,0.01,2671668.504,2086355.01,0.01,0.01,0.01,2752012.69,5663562.928,1001020.064
"ASV_717",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,646221.613178508,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20444.9712681418,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_719",0.01,0.01,0.01,2299718.42069393,0.01,136771.198962013,1970465.59817938,0.01,9047102.58449911,0.01,0.01,1577594.56771568,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_721",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2326379.12071279,11031349.4462737,0.01,0.01,0.01,0.01,0.01,4032957.71151931,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_722",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,15775945.6771568,0.01,0.01,0.01,0.01,0.01,0.01,0.01,412952.235480704,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1001020.064
"ASV_723",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3155189.13543137,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,163559.770145134,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_724",6797313.04675201,0.01,0.01,459943.684138785,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_725",0.01,0.01,0.01,1379831.05241636,0.01,136771.198962013,0.01,0.01,1938664.83953552,0.01,0.01,3155189.13543137,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,667917.126,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_726",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1838558.24104561,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3339585.63,8345420.04,45681632.5,0.01,0.01,0.01,0.01,0.01
"ASV_729",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,667917.126,6259065.03,0.01,0.01,0.01,0.01,0.01,1001020.064
"ASV_730",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6310378.27086274,0.01,0.01,0.01,0.01,0.01,4528915.80427246,0.01,0.01,20444.9712681418,0.01,0.01,0.01,0.01,511240.378,0.01,0.01,0.01,2003751.378,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_731",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2326379.12071279,0.01,0.01,0.01,0.01,0.01,3519605.1881226,4032957.71151931,4528915.80427246,0.01,72873.9239083596,20444.9712681418,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_732",971044.720964573,0.01,0.01,1839774.73655514,418842.769070472,957398.39273409,0.01,0.01,5169772.90542806,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1335834.252,10431775.05,7309061.2,0.01,0.01,0.01,0.01,1001020.064
"ASV_733",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1415890.732,0.01
"ASV_735",0.01,0.01,0.01,1379831.05241636,0.01,0.01,0.01,0.01,1938664.83953552,0.01,1838558.24104561,0.01,0.01,571008.038290599,0.01,0.01,0.01,3396686.85320434,0.01,48582.6159389064,20444.9712681418,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_738",7768357.76771658,8710195.60532338,6249806.5417263,919887.36827757,0.01,136771.198962013,0.01,0.01,646221.613178508,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_739",2913134.16289372,0.01,4860960.6435649,919887.36827757,0.01,410313.596886039,0.01,1948205.09530563,646221.613178508,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1335834.252,6259065.03,18272653,27885592.54,0.01,0.01,4247672.196,1001020.064
"ASV_740",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_741",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6979137.36213837,5515674.72313684,0.01,0.01,0.01,0.01,0.01,0.01,15851205.3149536,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,500510.032
"ASV_742",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3155189.13543137,0.01,0.01,0.01,0.01,0.01,0.01,0.01,170039.155786172,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_743",971044.720964573,0.01,0.01,0.01,0.01,273542.397924026,0.01,0.01,0.01,0.01,0.01,3155189.13543137,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_744",971044.720964573,0.01,0.01,3679549.47311028,698071.28178412,1230940.79065812,0.01,0.01,6462216.13178508,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,23785263.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_745",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_746",0.01,0.01,0.01,2299718.42069393,977299.794497768,273542.397924026,0.01,6122930.29953198,646221.613178508,2326379.12071279,1838558.24104561,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_748",3884178.88385829,0.01,0.01,3219605.7889715,977299.794497768,0.01,0.01,0.01,7108437.74496358,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_749",1942089.44192915,5542851.74884215,0.01,6439211.57794299,0.01,273542.397924026,0.01,0.01,2584886.45271403,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_750",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6310378.27086274,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,61334.9138044253,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_753",0.01,6334687.71296246,0.01,459943.684138785,139614.256356824,136771.198962013,1074799.41718875,12524175.6126791,1292443.22635702,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,667917.126,2086355.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_754",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1292443.22635702,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_756",3884178.88385829,0.01,0.01,0.01,0.01,136771.198962013,0.01,0.01,646221.613178508,0.01,0.01,9465567.4062941,0.01,0.01,0.01,0.01,0.01,0.01,258602.028861199,0.01,40889.9425362836,0.01,0.01,0.01,0.01,2556201.89,0.01,0.01,0.01,1335834.252,6259065.03,0.01,0.01,0.01,0.01,2123836.098,1001020.064
"ASV_758",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2123836.098,0.01
"ASV_760",3884178.88385829,0.01,9027498.3380491,1839774.73655514,1116914.05085459,273542.397924026,0.01,0.01,1938664.83953552,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,667917.126,18777195.09,0.01,17160364.64,0.01,0.01,0.01,3003060.192
"ASV_763",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_764",4855223.60482286,0.01,0.01,1839774.73655514,0.01,0.01,0.01,0.01,5815994.51860657,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_765",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4652758.24142558,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_767",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9305516.48285116,9192791.20522807,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_769",10681491.9306103,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_771",971044.720964573,0.01,0.01,3219605.7889715,837685.538140944,820627.193772077,0.01,0.01,1938664.83953552,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_773",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,61334.9138044253,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_774",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3677116.48209123,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20444.9712681418,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_777",7768357.76771658,0.01,4860960.6435649,919887.36827757,279228.512713648,0.01,1433065.889585,0.01,2584886.45271403,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_778",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1577594.56771568,11100260.4330537,1427520.0957265,4261467.42017308,0.01,0.01,0.01,258602.028861199,0.01,61334.9138044253,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_780",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1838558.24104561,0.01,0.01,1142016.0765812,0.01,5866008.646871,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_781",3884178.88385829,0.01,4860960.6435649,919887.36827757,558457.025427296,273542.397924026,1433065.889585,0.01,1938664.83953552,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_782",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4652758.24142558,0.01,3155189.13543137,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,61334.9138044253,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_785",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7354232.96418246,0.01,0.01,1427520.0957265,0.01,0.01,0.01,14718976.3638855,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_787",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4652758.24142558,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_789",1942089.44192915,16628555.2465264,7638652.4398877,459943.684138785,418842.769070472,0.01,2328732.07057563,6122930.29953198,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1335834.252,6259065.03,0.01,0.01,0.01,0.01,0.01,1501530.096
"ASV_790",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1577594.56771568,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_794",0.01,0.01,0.01,3679549.47311028,558457.025427296,273542.397924026,0.01,0.01,3231108.06589254,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_795",971044.720964573,0.01,0.01,919887.36827757,698071.28178412,1094169.5916961,0.01,0.01,646221.613178508,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_797",3884178.88385829,0.01,0.01,459943.684138785,0.01,547084.795848052,0.01,0.01,3877329.67907105,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_798",971044.720964573,0.01,0.01,1839774.73655514,279228.512713648,136771.198962013,0.01,0.01,4523551.29224955,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20343725.736,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_800",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6979137.36213837,1838558.24104561,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4675419.882,8345420.04,0.01,0.01,0.01,0.01,6371508.294,5005100.32
"ASV_801",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,786289.34,1415890.732,0.01
"ASV_802",971044.720964573,0.01,0.01,459943.684138785,0.01,0.01,0.01,0.01,0.01,2326379.12071279,5515674.72313684,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_803",2913134.16289372,0.01,0.01,919887.36827757,0.01,0.01,2149598.8343775,0.01,1938664.83953552,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_805",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_807",0.01,0.01,0.01,919887.36827757,0.01,0.01,0.01,0.01,1938664.83953552,2326379.12071279,0.01,4732783.70314705,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_809",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4652758.24142558,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,61334.9138044253,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_811",5826268.32578744,0.01,0.01,2299718.42069393,139614.256356824,0.01,1253932.65338688,0.01,5815994.51860657,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,10619180.49,1001020.064
"ASV_812",0.01,0.01,0.01,0.01,0.01,273542.397924026,0.01,0.01,0.01,0.01,0.01,4732783.70314705,0.01,1998528.1340171,0.01,0.01,0.01,0.01,0.01,0.01,81779.8850725671,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_814",0.01,0.01,0.01,459943.684138785,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4601163.402,0.01,3957908.038,0.01,0.01,4172710.02,0.01,0.01,0.01,0.01,0.01,3503570.224
"ASV_815",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2326379.12071279,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_817",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,143114.798876992,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,12790857.1,8580182.32,0.01,393144.67,0.01,500510.032
"ASV_818",0.01,0.01,0.01,459943.684138785,0.01,136771.198962013,1791332.36198125,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_819",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2326379.12071279,12869907.6873193,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_820",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4652758.24142558,3677116.48209123,0.01,13320312.5196645,285504.019145299,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_821",0.01,0.01,0.01,4599436.84138785,0.01,820627.193772077,0.01,0.01,2584886.45271403,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_823",971044.720964573,0.01,6249806.5417263,1379831.05241636,418842.769070472,683855.994810064,0.01,0.01,1938664.83953552,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5343337.008,4172710.02,5481795.9,0.01,0.01,1965723.35,4247672.196,1501530.096
"ASV_827",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1335834.252,0.01,0.01,0.01,0.01,0.01,0.01,1001020.064
"ASV_828",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4732783.70314705,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,40889.9425362836,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_829",0.01,0.01,0.01,4599436.84138785,558457.025427296,136771.198962013,0.01,0.01,5169772.90542806,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
